mean,median,max,min,std_dev,skewness,kurtosis,pixel_count,area_covered,frame,z_stack,channel,full_filepath,condition,time,strain,image_type,biorep,signal
5906.095876288659,5870.5,8081,4200,533.637424771741,0.43717297826303797,0.4933516501876758,970,0.00370025634765625,0,6,1,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\cell_only\Time_0_Z_6_Channel_1.tif,eGFP,60min,LZ22225,cell,1,fish
10479.755670103094,9934.0,18431,5891,2444.20346544822,1.131863326864508,1.0757536320274168,970,0.00370025634765625,0,6,2,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\cell_only\Time_0_Z_6_Channel_2.tif,eGFP,60min,LZ22225,cell,1,dapi
7941.627308707124,7106.5,17721,4818,2279.3530690114726,1.6361051204761843,2.3317218650678653,1516,0.0057830810546875,1,0,1,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\cell_only\Time_1_Z_0_Channel_1.tif,eGFP,60min,LZ22225,cell,1,fish
8532.521108179419,8360.5,13720,5241,1485.310923608896,0.49716472781976445,-0.0156850371114583,1516,0.0057830810546875,1,0,2,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\cell_only\Time_1_Z_0_Channel_2.tif,eGFP,60min,LZ22225,cell,1,dapi
7603.492084432718,6775.5,16736,4811,2185.7333211059286,1.635572114884191,2.2415736601443434,1516,0.0057830810546875,1,1,1,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\cell_only\Time_1_Z_1_Channel_1.tif,eGFP,60min,LZ22225,cell,1,fish
8292.722955145118,8084.0,13031,4775,1453.4326309437458,0.5082473997435212,-0.1349920801407909,1516,0.0057830810546875,1,1,2,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\cell_only\Time_1_Z_1_Channel_2.tif,eGFP,60min,LZ22225,cell,1,dapi
7516.543535620052,6660.0,16905,4661,2260.6002162731943,1.7251931706047208,2.61468968147911,1516,0.0057830810546875,1,2,1,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\cell_only\Time_1_Z_2_Channel_1.tif,eGFP,60min,LZ22225,cell,1,fish
8420.70382585752,8275.0,13405,4991,1479.1303286172908,0.4981296035907026,-0.06801735322246438,1516,0.0057830810546875,1,2,2,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\cell_only\Time_1_Z_2_Channel_2.tif,eGFP,60min,LZ22225,cell,1,dapi
14436.097625329816,13910.5,24956,8789,3223.6824687513395,0.612058910024839,-0.26046106143662007,1516,0.0057830810546875,1,3,0,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\cell_only\Time_1_Z_3_Channel_0.tif,eGFP,60min,LZ22225,cell,1,phase
7424.0481530343,6557.0,18979,4471,2342.6917190329054,1.9139369316391786,3.603024563870928,1516,0.0057830810546875,1,3,1,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\cell_only\Time_1_Z_3_Channel_1.tif,eGFP,60min,LZ22225,cell,1,fish
8679.591029023746,8563.0,13536,4765,1515.624513695865,0.38744586401860176,-0.21331377438415666,1516,0.0057830810546875,1,3,2,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\cell_only\Time_1_Z_3_Channel_2.tif,eGFP,60min,LZ22225,cell,1,dapi
7285.344327176781,6462.0,18872,4064,2343.3656000002757,1.947376243929575,3.8032520851771334,1516,0.0057830810546875,1,4,1,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\cell_only\Time_1_Z_4_Channel_1.tif,eGFP,60min,LZ22225,cell,1,fish
9007.11345646438,8927.5,14578,5460,1582.3758269059153,0.2796474129249971,-0.3116510121711804,1516,0.0057830810546875,1,4,2,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\cell_only\Time_1_Z_4_Channel_2.tif,eGFP,60min,LZ22225,cell,1,dapi
7130.369393139842,6376.5,19199,4287,2273.6481293408847,2.143192381222271,5.131647914891877,1516,0.0057830810546875,1,5,1,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\cell_only\Time_1_Z_5_Channel_1.tif,eGFP,60min,LZ22225,cell,1,fish
